Date,Baseline,AU & AD & S
2021-02-10,41430.0,41430.0
2021-02-11,42710.0,42710.0
2021-02-12,39470.0,39470.0
2021-02-16,38150.0,38150.0
2021-02-17,38240.0,38240.0
2021-02-18,34800.0,34800.0
2021-02-19,35450.0,35450.0
2021-02-22,43560.0,43560.0
2021-02-23,48890.0,48890.0
2021-02-24,49310.0,49310.0
2021-02-25,42780.0,42780.0
2021-02-26,40840.0,40840.0
2021-03-01,46780.0,46780.0
2021-03-02,45740.0,45740.0
2021-03-03,44060.0,44060.0
2021-03-04,39830.0,39830.0
2021-03-05,41790.0,41790.0
2021-03-08,53710.0,53710.0
2021-03-09,46310.0,46310.0
2021-03-10,46860.0,46860.0
2021-03-11,48550.0,48550.0
2021-03-12,48960.0,48960.0
2021-03-15,48560.0,48560.0
2021-03-16,46040.0,46040.0
2021-03-17,47040.0,47040.0
2021-03-18,44080.0,44080.0
2021-03-19,42940.0,42940.0
2021-03-22,44660.0,44660.0
2021-03-23,40530.0,40530.0
2021-03-24,36520.0,36520.0
2021-03-25,38710.0,38710.0
2021-03-26,37720.0,37720.0
2021-03-29,36650.0,36650.0
2021-03-30,37330.0,37330.0
2021-03-31,36320.0,36320.0
2021-04-01,40770.0,40770.0
2021-04-05,40300.0,40300.0
2021-04-06,41530.0,41530.0
2021-04-07,39360.0,39360.0
2021-04-08,39120.0,39120.0
2021-04-09,39690.0,39690.0
2021-04-12,38290.0,38290.0
2021-04-13,37290.0,37290.0
2021-04-14,39260.0,39260.0
2021-04-15,37730.0,37730.0
2021-04-16,39060.0,39060.0
2021-04-19,39230.0,39230.0
2021-04-20,34590.0,34590.0
2021-04-21,34910.0,34910.0
2021-04-22,34560.0,34560.0
2021-04-23,34820.0,34820.0
2021-04-26,36070.0,36070.0
2021-04-27,36440.0,36440.0
2021-04-28,35190.0,35190.0
2021-04-29,37130.0,37130.0
2021-04-30,37820.0,37820.0
2021-05-03,37310.0,37310.0
2021-05-04,36050.0,36050.0
2021-05-05,33310.0,33310.0
2021-05-06,33590.0,33590.0
2021-05-07,36640.0,36640.0
2021-05-10,36100.0,36100.0
2021-05-11,33470.0,33470.0
2021-05-12,29650.0,29650.0
2021-05-13,30140.0,30140.0
2021-05-14,25500.0,25500.0
2021-05-17,21880.0,21880.0
2021-05-18,21480.0,21480.0
2021-05-19,21070.0,21070.0
2021-05-20,23160.0,23160.0
2021-05-21,24200.0,24200.0
2021-05-24,26110.0,26110.0
2021-05-25,27970.0,27970.0
2021-05-26,28270.0,28270.0
2021-05-27,30840.0,30840.0
