Date,Baseline,BBP & OBV & RSI & AU & WPR,BBP & OBV & RSI & AD & WPR,BBP & OBV & RSI & S & WPR,BBP & OBV & AU & AD & WPR,BBP & OBV & AU & S & WPR,BBP & OBV & AD & S & WPR,BBP & RSI & AU & AD & WPR,BBP & RSI & AU & S & WPR,BBP & RSI & AD & S & WPR,BBP & AU & AD & S & WPR,OBV & RSI & AU & AD & WPR,OBV & RSI & AU & S & WPR,OBV & RSI & AD & S & WPR,OBV & AU & AD & S & WPR,RSI & AU & AD & S & WPR
2020-05-01,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-42700.0,-75690.0,-42700.0,-42700.0,-42700.0,-20140.0
2020-05-04,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-45020.0,-75690.0,-45020.0,-45020.0,-45020.0,-22460.0
2020-05-05,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-47140.0,-75690.0,-47140.0,-47140.0,-47140.0,-24580.0
2020-05-06,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-47320.0,-75690.0,-47320.0,-47320.0,-47320.0,-24580.0
2020-05-07,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-42630.0,-75690.0,-42630.0,-42630.0,-42630.0,-24580.0
2020-05-08,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-39040.0,-79280.0,-39040.0,-39040.0,-39040.0,-20990.0
2020-05-11,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-40430.0,-77890.0,-40430.0,-40430.0,-40430.0,-22380.0
2020-05-12,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-43640.0,-74680.0,-43640.0,-43640.0,-43640.0,-25590.0
2020-05-13,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-45280.0,-74680.0,-45280.0,-45280.0,-45280.0,-27230.0
2020-05-14,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-42290.0,-74680.0,-42290.0,-42290.0,-42290.0,-24240.0
2020-05-15,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-39150.0,-71540.0,-39150.0,-39150.0,-39150.0,-21100.0
2020-05-18,-31350.0,-31350.0,-31350.0,-31350.0,-31350.0,-31350.0,-31350.0,-31350.0,-31350.0,-31350.0,-31350.0,-63740.0,-31350.0,-31350.0,-31350.0,-13300.0
2020-05-19,-33830.0,-33830.0,-33830.0,-33830.0,-33830.0,-33830.0,-33830.0,-33830.0,-33830.0,-33830.0,-33830.0,-66220.0,-33830.0,-33830.0,-33830.0,-15780.0
2020-05-20,-28280.0,-28280.0,-28280.0,-28280.0,-28280.0,-28280.0,-28280.0,-28280.0,-28280.0,-28280.0,-28280.0,-66220.0,-28280.0,-28280.0,-28280.0,-10230.0
2020-05-21,-30370.0,-30370.0,-30370.0,-30370.0,-30370.0,-30370.0,-30370.0,-30370.0,-30370.0,-30370.0,-30370.0,-68310.0,-30370.0,-30370.0,-30370.0,-12320.0
