Date,Baseline,WPR & BBP & OBV & RSI & AU & AD,WPR & BBP & OBV & RSI & AU & S,WPR & BBP & OBV & RSI & AD & S,WPR & BBP & OBV & AU & AD & S,WPR & BBP & RSI & AU & AD & S,WPR & OBV & RSI & AU & AD & S,BBP & OBV & RSI & AU & AD & S
2018-06-22,-5310.0,4040.0,-5310.0,-5310.0,-5310.0,-5310.0,-5310.0,-5310.0
2018-06-25,-7150.0,4040.0,-7150.0,-7150.0,-7150.0,-7150.0,-7150.0,-7150.0
2018-06-26,-7340.0,3850.0,-7340.0,-7340.0,-7340.0,-7340.0,-7340.0,-7340.0
2018-06-27,-7630.0,3560.0,-7630.0,-7630.0,-7630.0,-7630.0,-7630.0,-7630.0
2018-06-28,-6840.0,4350.0,-6840.0,-6840.0,-6840.0,-6840.0,-6840.0,-6840.0
2018-06-29,-6800.0,4390.0,-6800.0,-6800.0,-6800.0,-6800.0,-6800.0,-6800.0
2018-07-02,-6300.0,4890.0,-6300.0,-6300.0,-6300.0,-6300.0,-6300.0,-6300.0
2018-07-03,-7550.0,3640.0,-7550.0,-7550.0,-7550.0,-7550.0,-7550.0,-7550.0
2018-07-05,-6290.0,4900.0,-6290.0,-6290.0,-6290.0,-6290.0,-6290.0,-6290.0
2018-07-06,-6010.0,5180.0,-6010.0,-6010.0,-6010.0,-6010.0,-6010.0,-6010.0
2018-07-09,-4800.0,6390.0,-4800.0,-4800.0,-4800.0,-4800.0,-4800.0,-4800.0
2018-07-10,-4790.0,6400.0,-4790.0,-4790.0,-4790.0,-4790.0,-4790.0,-4790.0
2018-07-11,-2820.0,8370.0,-2820.0,-2820.0,-2820.0,-2820.0,-2820.0,-2820.0
2018-07-12,-2610.0,8580.0,-2610.0,-2610.0,-2610.0,-2610.0,-2610.0,-2610.0
2018-07-13,-890.0,10300.0,-890.0,-890.0,-890.0,-890.0,-890.0,-890.0
2018-07-16,-700.0,10490.0,-700.0,-700.0,-700.0,-700.0,-700.0,-700.0
2018-07-17,-600.0,10590.0,-600.0,-600.0,-600.0,-600.0,-600.0,-600.0
2018-07-18,-220.0,10970.0,-220.0,-220.0,-220.0,-220.0,-220.0,-220.0
2018-07-19,1190.0,12380.0,1190.0,1190.0,1190.0,1190.0,1190.0,1190.0
2018-07-20,560.0,11750.0,560.0,560.0,560.0,560.0,560.0,560.0
2018-07-23,170.0,11360.0,170.0,170.0,170.0,170.0,170.0,170.0
2018-07-24,-210.0,10980.0,-210.0,-210.0,-210.0,-210.0,-210.0,-210.0
2018-07-25,260.0,11450.0,260.0,260.0,260.0,260.0,260.0,260.0
2018-07-26,2550.0,13740.0,2550.0,2550.0,2550.0,2550.0,2550.0,2550.0
2018-07-27,1670.0,12860.0,1670.0,1670.0,1670.0,1670.0,1670.0,1670.0
2018-07-30,1680.0,12870.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0
2018-07-31,2600.0,13790.0,2600.0,2600.0,2600.0,2600.0,2600.0,2600.0
2018-08-01,2020.0,13210.0,2020.0,2020.0,2020.0,2020.0,2020.0,2020.0
2018-08-02,1800.0,12990.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
2018-08-03,3110.0,12990.0,3110.0,3110.0,3110.0,3110.0,3110.0,3110.0
2018-08-06,4930.0,14810.0,4930.0,4930.0,4930.0,4930.0,4930.0,4930.0
2018-08-07,5540.0,15420.0,5540.0,5540.0,5540.0,5540.0,5540.0,5540.0
2018-08-08,3010.0,12890.0,3010.0,3010.0,3010.0,3010.0,3010.0,3010.0
2018-08-09,3180.0,12890.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0
2018-08-10,1730.0,11440.0,1730.0,1730.0,1730.0,1730.0,1730.0,1730.0
2018-08-13,1180.0,11440.0,1180.0,1180.0,1180.0,1180.0,1180.0,1180.0
2018-08-14,1800.0,11440.0,1800.0,1800.0,1800.0,1800.0,1800.0,1800.0
2018-08-15,1900.0,11440.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0
2018-08-16,1540.0,11440.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0
2018-08-17,1540.0,11440.0,1540.0,1540.0,1540.0,1540.0,1540.0,1540.0
2018-08-20,1060.0,10960.0,1060.0,1060.0,1060.0,1060.0,1060.0,1060.0
2018-08-21,1450.0,11350.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0
2018-08-22,1010.0,10910.0,1010.0,1010.0,1010.0,1010.0,1010.0,1010.0
2018-08-23,1070.0,10970.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0
2018-08-24,1000.0,10900.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
2018-08-27,1390.0,11290.0,1390.0,1390.0,1390.0,1390.0,1390.0,1390.0
2018-08-28,1630.0,11530.0,1630.0,1630.0,1630.0,1630.0,1630.0,1630.0
2018-08-29,1510.0,11410.0,1510.0,1510.0,1510.0,1510.0,1510.0,1510.0
2018-08-30,990.0,10890.0,990.0,990.0,990.0,990.0,990.0,990.0
2018-08-31,1090.0,10990.0,1090.0,1090.0,1090.0,1090.0,1090.0,1090.0
2018-09-04,-60.0,9840.0,-60.0,-60.0,-60.0,-60.0,-60.0,-60.0
2018-09-05,-1020.0,8880.0,-1020.0,-1020.0,-1020.0,-1020.0,-1020.0,-1020.0
2018-09-06,-640.0,9260.0,-640.0,-640.0,-640.0,-640.0,-640.0,-640.0
2018-09-07,60.0,9960.0,60.0,60.0,60.0,60.0,60.0,60.0
2018-09-10,-230.0,9670.0,-230.0,-230.0,-230.0,-230.0,-230.0,-230.0
2018-09-11,-1290.0,8610.0,-1290.0,-1290.0,-1290.0,-1290.0,-1290.0,-1290.0
2018-09-12,-1420.0,8480.0,-1420.0,-1420.0,-1420.0,-1420.0,-1420.0,-1420.0
2018-09-13,-240.0,9660.0,-240.0,-240.0,-240.0,-240.0,-240.0,-240.0
2018-09-14,-1620.0,8280.0,-1620.0,-1620.0,-1620.0,-1620.0,-1620.0,-1620.0
2018-09-17,-1520.0,8380.0,-1520.0,-1520.0,-1520.0,-1520.0,-1520.0,-1520.0
2018-09-18,-1360.0,8540.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0,-1360.0
2018-09-19,-1100.0,8800.0,-1100.0,-1100.0,-1100.0,-1100.0,-1100.0,-1100.0
2018-09-20,690.0,10590.0,690.0,690.0,690.0,690.0,690.0,690.0
2018-09-21,-500.0,9400.0,-500.0,-500.0,-500.0,-500.0,-500.0,-500.0
2018-09-24,1820.0,11720.0,1820.0,1820.0,1820.0,1820.0,1820.0,1820.0
2018-09-25,2660.0,12560.0,2660.0,2660.0,2660.0,2660.0,2660.0,2660.0
2018-09-26,4210.0,14110.0,4210.0,4210.0,4210.0,4210.0,4210.0,4210.0
2018-09-27,5030.0,14930.0,5030.0,5030.0,5030.0,5030.0,5030.0,5030.0
2018-09-28,5910.0,15810.0,5910.0,5910.0,5910.0,5910.0,5910.0,5910.0
2018-10-01,5220.0,15120.0,5220.0,5220.0,5220.0,5220.0,5220.0,5220.0
2018-10-02,6610.0,16510.0,6610.0,6610.0,6610.0,6610.0,6610.0,6610.0
2018-10-03,5880.0,15780.0,5880.0,5880.0,5880.0,5880.0,5880.0,5880.0
2018-10-04,5110.0,15010.0,5110.0,5110.0,5110.0,5110.0,5110.0,5110.0
2018-10-05,3790.0,13690.0,3790.0,3790.0,3790.0,3790.0,3790.0,3790.0
2018-10-08,5010.0,13690.0,5010.0,5010.0,5010.0,5010.0,5010.0,5010.0
2018-10-09,5860.0,14540.0,5860.0,5860.0,5860.0,5860.0,5860.0,5860.0
2018-10-10,1910.0,10590.0,1910.0,1910.0,1910.0,1910.0,1910.0,1910.0
2018-10-11,230.0,10590.0,230.0,230.0,230.0,230.0,230.0,230.0
2018-10-12,1660.0,10590.0,1660.0,1660.0,1660.0,1660.0,1660.0,1660.0
2018-10-15,2480.0,10590.0,2480.0,2480.0,2480.0,2480.0,2480.0,2480.0
2018-10-16,5170.0,13280.0,5170.0,5170.0,5170.0,5170.0,5170.0,5170.0
2018-10-17,6100.0,14210.0,6100.0,6100.0,6100.0,6100.0,6100.0,6100.0
2018-10-18,5160.0,13270.0,5160.0,5160.0,5160.0,5160.0,5160.0,5160.0
2018-10-19,7830.0,15940.0,7830.0,7830.0,7830.0,7830.0,7830.0,7830.0
2018-10-22,7210.0,15320.0,7210.0,7210.0,7210.0,7210.0,7210.0,7210.0
2018-10-23,6800.0,14910.0,6800.0,6800.0,6800.0,6800.0,6800.0,6800.0
2018-10-24,680.0,8790.0,680.0,680.0,680.0,680.0,680.0,680.0
2018-10-25,3180.0,11290.0,3180.0,3180.0,3180.0,3180.0,3180.0,3180.0
2018-10-26,2230.0,10340.0,2230.0,2230.0,2230.0,2230.0,2230.0,2230.0
2018-10-29,2090.0,10200.0,2090.0,2090.0,2090.0,2090.0,2090.0,2090.0
2018-10-30,3770.0,10200.0,3770.0,3770.0,3770.0,3770.0,3770.0,3770.0
2018-10-31,3840.0,10270.0,3840.0,3840.0,3840.0,3840.0,3840.0,3840.0
2018-11-01,5090.0,11520.0,5090.0,5090.0,5090.0,5090.0,5090.0,5090.0
2018-11-02,4180.0,10610.0,4180.0,4180.0,4180.0,4180.0,4180.0,4180.0
2018-11-05,4450.0,10880.0,4450.0,4450.0,4450.0,4450.0,4450.0,4450.0
2018-11-06,5680.0,12110.0,5680.0,5680.0,5680.0,5680.0,5680.0,5680.0
2018-11-07,6020.0,12450.0,6020.0,6020.0,6020.0,6020.0,6020.0,6020.0
2018-11-08,4990.0,11420.0,4990.0,4990.0,4990.0,4990.0,4990.0,4990.0
2018-11-09,6950.0,13380.0,6950.0,6950.0,6950.0,6950.0,6950.0,6950.0
2018-11-12,5670.0,12100.0,5670.0,5670.0,5670.0,5670.0,5670.0,5670.0
2018-11-13,5820.0,12250.0,5820.0,5820.0,5820.0,5820.0,5820.0,5820.0
2018-11-14,6090.0,12520.0,6090.0,6090.0,6090.0,6090.0,6090.0,6090.0
2018-11-15,6080.0,12510.0,6080.0,6080.0,6080.0,6080.0,6080.0,6080.0
2018-11-16,5170.0,11600.0,5170.0,5170.0,5170.0,5170.0,5170.0,5170.0
2018-11-19,4420.0,11600.0,4420.0,4420.0,4420.0,4420.0,4420.0,4420.0
2018-11-20,940.0,11600.0,940.0,940.0,940.0,940.0,940.0,940.0
2018-11-21,2080.0,12740.0,2080.0,2080.0,2080.0,2080.0,2080.0,2080.0
2018-11-23,1140.0,11800.0,1140.0,1140.0,1140.0,1140.0,1140.0,1140.0
2018-11-26,1610.0,12270.0,1610.0,1610.0,1610.0,1610.0,1610.0,1610.0
2018-11-27,2930.0,13590.0,2930.0,2930.0,2930.0,2930.0,2930.0,2930.0
2018-11-28,5090.0,15750.0,5090.0,5090.0,5090.0,5090.0,5090.0,5090.0
2018-11-29,5590.0,16250.0,5590.0,5590.0,5590.0,5590.0,5590.0,5590.0
2018-11-30,4490.0,15150.0,4490.0,4490.0,4490.0,4490.0,4490.0,4490.0
2018-12-03,4730.0,15390.0,4730.0,4730.0,4730.0,4730.0,4730.0,4730.0
2018-12-04,1920.0,12580.0,1920.0,1920.0,1920.0,1920.0,1920.0,1920.0
2018-12-06,3350.0,14010.0,3350.0,3350.0,3350.0,3350.0,3350.0,3350.0
2018-12-07,1900.0,12560.0,1900.0,1900.0,1900.0,1900.0,1900.0,1900.0
2018-12-10,1780.0,12440.0,1780.0,1780.0,1780.0,1780.0,1780.0,1780.0
2018-12-11,1890.0,12550.0,1890.0,1890.0,1890.0,1890.0,1890.0,1890.0
2018-12-12,2130.0,12550.0,2130.0,2130.0,2130.0,2130.0,2130.0,2130.0
2018-12-13,3290.0,12550.0,3290.0,3290.0,3290.0,3290.0,3290.0,3290.0
2018-12-14,2120.0,12550.0,2120.0,2120.0,2120.0,2120.0,2120.0,2120.0
2018-12-17,550.0,12550.0,550.0,550.0,550.0,550.0,550.0,550.0
2018-12-18,-600.0,11400.0,-600.0,-600.0,-600.0,-600.0,-600.0,-600.0
2018-12-19,-830.0,11170.0,-830.0,-830.0,-830.0,-830.0,-830.0,-830.0
2018-12-20,-3020.0,8980.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0,-3020.0
2018-12-21,-5770.0,6230.0,-5770.0,-5770.0,-5770.0,-5770.0,-5770.0,-5770.0
2018-12-24,-9590.0,2410.0,-9590.0,-9590.0,-9590.0,-9590.0,-9590.0,-9590.0
2018-12-26,-4180.0,7820.0,-4180.0,-4180.0,-4180.0,-4180.0,-4180.0,-4180.0
2018-12-27,-3500.0,8500.0,-3500.0,-3500.0,-3500.0,-3500.0,-3500.0,-3500.0
2018-12-28,-2730.0,9270.0,-2730.0,-2730.0,-2730.0,-2730.0,-2730.0,-2730.0
2018-12-31,-400.0,11600.0,-400.0,-400.0,-400.0,-400.0,-400.0,-400.0
2019-01-02,-1080.0,10920.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0,-1080.0
2019-01-03,-3680.0,8320.0,-3680.0,-3680.0,-3680.0,-3680.0,-3680.0,-3680.0
2019-01-04,-440.0,11560.0,-440.0,-440.0,-440.0,-440.0,-440.0,-440.0
2019-01-07,500.0,12500.0,500.0,500.0,500.0,500.0,500.0,500.0
2019-01-08,1340.0,13340.0,1340.0,1340.0,1340.0,1340.0,1340.0,1340.0
2019-01-09,2580.0,14580.0,2580.0,2580.0,2580.0,2580.0,2580.0,2580.0
2019-01-10,2710.0,14710.0,2710.0,2710.0,2710.0,2710.0,2710.0,2710.0
2019-01-11,2560.0,14560.0,2560.0,2560.0,2560.0,2560.0,2560.0,2560.0
2019-01-14,2330.0,14330.0,2330.0,2330.0,2330.0,2330.0,2330.0,2330.0
2019-01-15,1680.0,13680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0
2019-01-16,840.0,12840.0,840.0,840.0,840.0,840.0,840.0,840.0
2019-01-17,940.0,12840.0,940.0,940.0,940.0,940.0,940.0,940.0
2019-01-18,970.0,12870.0,970.0,970.0,970.0,970.0,970.0,970.0
2019-01-22,530.0,12430.0,530.0,530.0,530.0,530.0,530.0,530.0
2019-01-23,1050.0,12950.0,1050.0,1050.0,1050.0,1050.0,1050.0,1050.0
2019-01-24,490.0,12390.0,490.0,490.0,490.0,490.0,490.0,490.0
2019-01-25,1020.0,12390.0,1020.0,1020.0,1020.0,1020.0,1020.0,1020.0
2019-01-28,740.0,12390.0,740.0,740.0,740.0,740.0,740.0,740.0
2019-01-29,830.0,12390.0,830.0,830.0,830.0,830.0,830.0,830.0
2019-01-30,70.0,11630.0,70.0,70.0,70.0,70.0,70.0,70.0
2019-01-31,1440.0,13000.0,1440.0,1440.0,1440.0,1440.0,1440.0,1440.0
2019-02-01,1230.0,12790.0,1230.0,1230.0,1230.0,1230.0,1230.0,1230.0
