Date,Baseline,BBP & OBV & RSI & WPR,BBP & OBV & AU & WPR,BBP & OBV & AD & WPR,BBP & OBV & S & WPR,BBP & RSI & AU & WPR,BBP & RSI & AD & WPR,BBP & RSI & S & WPR,BBP & AU & AD & WPR,BBP & AU & S & WPR,BBP & AD & S & WPR,OBV & RSI & AU & WPR,OBV & RSI & AD & WPR,OBV & RSI & S & WPR,OBV & AU & AD & WPR,OBV & AU & S & WPR,OBV & AD & S & WPR,RSI & AU & AD & WPR,RSI & AU & S & WPR,RSI & AD & S & WPR,AU & AD & S & WPR
2020-02-13,-7300.0,5980.0,-7300.0,-7300.0,-7300.0,-9280.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,-7300.0,7300.0,6640.0,-7300.0,-7300.0
2020-02-14,-8660.0,4620.0,-8660.0,-8660.0,-8660.0,-9280.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,-8660.0,8660.0,6640.0,-8660.0,-8660.0
2020-02-18,-9060.0,5020.0,-9060.0,-9060.0,-9060.0,-8880.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,-9060.0,9060.0,7040.0,-9060.0,-9060.0
2020-02-19,-6900.0,7180.0,-6900.0,-6900.0,-6900.0,-11040.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,-6900.0,6900.0,7040.0,-6900.0,-6900.0
2020-02-20,-7830.0,8110.0,-7830.0,-7830.0,-7830.0,-11040.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,-7830.0,7830.0,7970.0,-7830.0,-7830.0
2020-02-21,-9230.0,6710.0,-9230.0,-9230.0,-9230.0,-9640.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,-9230.0,9230.0,7970.0,-9230.0,-9230.0
2020-02-24,-15190.0,12670.0,-15190.0,-15190.0,-15190.0,-15600.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,-15190.0,15190.0,13930.0,-15190.0,-15190.0
2020-02-25,-20010.0,7850.0,-20010.0,-20010.0,-20010.0,-20420.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,-20010.0,20010.0,13930.0,-20010.0,-20010.0
2020-02-26,-24840.0,12680.0,-24840.0,-24840.0,-24840.0,-25250.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,-24840.0,24840.0,18760.0,-24840.0,-24840.0
2020-02-27,-30160.0,7360.0,-30160.0,-30160.0,-30160.0,-30570.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,-30160.0,30160.0,18760.0,-30160.0,-30160.0
2020-02-28,-30550.0,7750.0,-30550.0,-30550.0,-30550.0,-30960.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,-30550.0,30550.0,19150.0,-30550.0,-30550.0
2020-03-02,-28220.0,10080.0,-28220.0,-28220.0,-28220.0,-28630.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,-28220.0,28220.0,19150.0,-28220.0,-28220.0
