Learner 1,Learner 2,Learner 3,Learner 4,Learner 5,Learner 6,Learner 7
29110,44310,  2840.0,  46750.0,  -22690.0,  -31520.00000000003,  -18610.00000000003
15570,66900,  39150.00000000009,  36500.00000000009,  27690.00000000006,  23110.00000000003,  23920.000000000087
13130,20960,  45560.00000000003,  43980.00000000003,  11750.0,  5079.999999999942,  6979.999999999971
-20880,28580,  -3720.0000000001164,  18850.0,  19619.99999999997,  13309.999999999913,  7880.000000000029
4570,13370,  -5489.999999999971,  4070.000000000029,  -25230.00000000006,  -24790.00000000006,  4389.999999999942
3720,14530,  25159.99999999994,  41139.99999999997,  -3910.0,  33090.0,  28219.999999999913
38340,35360,  38740.0,  48130.0,  18359.99999999994,  12250.0,  28720.00000000003
29680,35620,  -5880.000000000058,  38579.99999999997,  20090.0,  33960.0,  43560.0
-2580,870,  28330.00000000003,  30350.00000000003,  -21030.0,  -709.9999999999418,  -15550.0
18870,17280,  30679.99999999997,  23190.00000000006,  14629.99999999997,  37299.99999999994,  43250.0
-6160,5490,  43160.0,  21470.00000000003,  14530.000000000058,  16580.0,  23480.0
29250,22580,  5450.0,  17310.0,  26520.0,  2010.0,  21689.99999999997
32620,18770,  -14690.0,  47639.99999999997,  14090.0,  31450.0,  36770.0
12710,19340,  56719.99999999997,  11349.999999999942,  61889.99999999991,  40819.99999999997,  44959.99999999994
10050,57200,  52989.99999999997,  67289.99999999994,  33910.0,  24430.0,  51850.0
16010,39940,  36030.0,  38860.0,  26790.0,  24560.0,  30260.0
690,-8410,  16630.00000000003,  41109.99999999997,  18660.0,  -140.0,  23790.0
53310,14490,  30059.99999999994,  -8340.000000000116,  13719.999999999942,  15159.99999999997,  16319.99999999997
-330,13770,  -6489.999999999942,  2020.0,  25740.0,  21240.00000000003,  -16299.99999999997
5110,-2100,  4279.999999999971,  2549.999999999942,  4319.999999999942,  18209.99999999997,  22089.99999999997
75390,51340,  26060.0,  61280.0,  69410.0,  68920.00000000003,  21179.99999999994
42140,18030,  25040.00000000003,  31090.0,  32180.00000000006,  30450.000000000116,  47649.99999999997
38800,13900,  29740.00000000003,  -36700.00000000003,  37440.0,  51359.99999999997,  25149.99999999994
33280,26100,  24639.99999999994,  13770.00000000003,  15100.00000000003,  12099.999999999942,  26459.99999999994
27530,14350,  17260.00000000003,  -15950.0,  7430.000000000029,  4959.999999999942,  -14589.99999999997
33550,9800,  34920.0,  -6010.0,  9749.99999999997,  28750.00000000003,  4199.999999999971
34120,32770,  33080.0,  17710.0,  35029.99999999994,  36679.99999999991,  44969.99999999997
44470,31590,  29239.999999999884,  37009.99999999991,  30409.99999999997,  41510.0,  42149.99999999994
9590,28310,  30880.0,  18869.99999999997,  33659.99999999997,  8339.99999999997,  22390.0
11790,7060,  38850.0,  3040.0,  35250.00000000003,  37130.0,  24410.0
33720,21120,  -12620.0,  11989.999999999942,  13309.999999999913,  -7150.000000000058,  39800.0
45970,56720,  56860.0,  65610.0,  36950.00000000003,  70429.99999999997,  34760.00000000003
33330,21490,  27680.0,  19370.0,  41880.00000000003,  11850.0,  19450.00000000006
30250,48360,  49979.99999999997,  61370.00000000003,  51709.99999999997,  46279.99999999997,  68379.99999999997
54320,63580,  61690.0,  53990.0,  40060.00000000003,  45039.99999999994,  17440.00000000003
42750,35410,  45910.0,  17169.99999999997,  21520.0,  38100.0,  12649.99999999997
49280,45550,  55129.99999999997,  54760.0,  67780.0,  51429.99999999997,  29229.99999999994
46240,38330,  13899.99999999997,  31390.0,  52890.0,  42940.00000000003,  4649.999999999971
45170,-10150,  32789.99999999991,  49139.99999999994,  38280.00000000003,  14889.99999999997,  52709.99999999997
650,9280,  16610.0,  38640.0,  18710.0,  16529.99999999997,  4910.0
26520,40260,  35470.0,  11390.0,  13730.0,  20430.0,  13590.00000000003
30450,27800,  41629.99999999997,  37969.99999999991,  22829.99999999997,  25969.99999999997,  45530.0
17680,15820,  23129.99999999994,  9669.999999999884,  24870.0,  29640.0,  10709.99999999997
34560,36050,  -6500.0,  -14719.99999999997,  4960.0,  2879.999999999971,  -8160.000000000029
61650,42400,  38910.0,  40209.99999999997,  35310.0,  38010.0,  33590.0
41340,44890,  45220.0,  30890.00000000003,  41160.0,  39610.0,  44000.0
36020,24590,  35220.0,  44130.0,  30810.0,  32670.00000000003,  40730.0
31040,57000,  50909.99999999994,  19259.99999999994,  60079.99999999997,  27749.99999999994,  26780.0
4030,16130,  16039.999999999942,  2019.999999999971,  15149.99999999997,  -10330.00000000003,  13080.0
19370,29460,  -470.0,  36470.0,  5550.0,  7360.0,  -620.0
31470,48390,  39749.99999999994,  29620.0,  21469.99999999994,  32790.0,  31470.0
34420,6150,  54450.0,  15429.99999999997,  34080.0,  17689.99999999994,  44860.0
3060,80,  7310.000000000087,  19820.00000000003,  10000.00000000003,  8180.0,  12980.0
36640,27120,  20190.0,  47900.0,  29280.0,  54539.99999999997,  54870.0
28630,34140,  27330.0,  22690.00000000003,  44540.00000000003,  43900.00000000003,  34790.0
34150,30260,  30180.0,  32810.00000000003,  45400.0,  23410.00000000006,  47110.0
34850,67490,  25449.99999999997,  50319.99999999997,  17249.99999999997,  36009.99999999997,  49859.99999999997
38980,47220,  37389.99999999997,  39980.0,  39589.99999999997,  22109.99999999997,  36890.0
25190,20540,  17499.99999999997,  18939.99999999997,  33260.0,  25000.0,  32250.0
48560,35040,  42970.0,  36620.0,  40579.99999999994,  42400.0,  28969.99999999997
22940,19980,  36190.0,  -7310.0,  48710.00000000003,  12750.0,  29460.0
60130,27740,  49740.00000000003,  33080.00000000003,  36460.0,  35959.99999999997,  30650.0
10580,18080,  15990.0,  8120.000000000029,  15780.00000000003,  23700.0,  11900.00000000003
43280,47320,  46069.99999999994,  54409.99999999994,  29670.0,  49700.0,  56439.99999999994
20200,40600,  44100.0,  32990.0,  40350.0,  29250.0,  45910.0
51210,31740,  32389.99999999997,  13990.0,  44410.0,  33690.0,  40120.0
46220,33610,  33100.00000000003,  55330.0,  40270.0,  38990.0,  33060.0
32890,27350,  25979.99999999997,  30830.0,  28250.0,  28219.99999999994,  23999.99999999997
25500,12100,  19890.0,  17610.0,  25490.0,  -2920.0,  15800.0
25220,15990,  31240.0,  18440.0,  32630.00000000003,  25380.0,  23900.0
37690,38830,  37580.0,  24109.99999999997,  29200.0,  29509.99999999997,  23390.0
33420,33060,  26230.0,  32410.0,  36110.0,  31140.0,  35330.00000000003
32670,34390,  44370.0,  32260.0,  30310.0,  34349.99999999997,  35329.99999999997
24570,33910,  38790.0,  30530.0,  35909.99999999997,  44060.0,  14720.0
40530,28370,  21620.0,  37220.00000000003,  34370.0,  30810.0,  29430.0
42230,43360,  41279.99999999991,  34909.99999999997,  42830.0,  43409.99999999994,  51740.0
40400,38790,  39790.0,  31070.0,  40610.0,  35300.0,  34820.0
37120,33240,  41469.99999999997,  30240.0,  38980.0,  33700.0,  38970.0
10730,7910,  43980.0,  40800.0,  21110.0,  35830.0,  34210.0
29130,32770,  27070.0,  22130.0,  30060.0,  30240.0,  36340.0
29550,32880,  40440.0,  34900.0,  36770.0,  42310.0,  36469.99999999997
38230,28130,  25210.0,  34000.0,  22410.0,  27910.0,  42220.0
29320,12940,  15990.0,  25020.0,  31740.0,  33940.0,  20070.0
20050,18060,  18000.0,  26030.0,  19890.0,  13880.0,  19350.0
48720,42070,  50210.0,  56870.0,  44630.0,  50840.0,  44280.0
43310,45380,  32790.0,  38980.0,  43850.0,  30010.0,  34360.0
34870,44000,  43180.0,  35330.0,  46310.0,  42650.0,  35340.0
37190,36120,  49420.00000000003,  37150.00000000003,  50650.00000000006,  47480.00000000003,  42150.0
42730,40870,  45280.0,  36120.0,  35590.0,  55300.0,  38180.0
37950,42680,  45000.0,  39340.0,  41940.0,  38040.0,  38540.0
49590,35820,  50040.00000000006,  40700.00000000006,  38770.0,  25020.0,  43800.0
25570,41150,  18900.0,  35280.0,  36710.00000000003,  29070.0,  29210.0
31830,30590,  29260.0,  11050.0,  30580.0,  16060.0,  25370.0
45630,46910,  49820.0,  42240.0,  36680.0,  45290.00000000003,  46830.0
32200,28570,  34260.0,  40800.0,  36660.0,  29760.0,  49950.0
39620,39770,  27440.0,  33810.0,  41760.0,  35990.0,  32900.0
41280,37080,  36250.0,  26540.0,  39520.0,  27570.0,  32620.0
